,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
221,1912332,210,9003,경기도,182,이천시,31,1.4,병원,479.3,998312,2613,14,750.8,1195
222,1924270,091,9003,경기도,224,안산시 상록구,31,1.8,병원,640.2,944230,3016,13,407.5,1515.6
223,1666242,040,9003,전라남도,114,나주시,36,6.9,병원,441,928852,2307,20,548.9,972.8
224,2007908,590,9003,강원도,13,인제군,32,1,병원,1026.5,1066957,105,8,1090.9,2239.2
225,1761073,020,9003,경상북도,201,경주시,37,9.3,병원,566,1159815,3756,19,645.3,1211.5
226,1652485,050,9003,경상남도,118,통영시,38,4.1,병원,458.1,1083808,1867,16,394,1009
227,1947596,150,9003,서울특별시,509,양천구,11,3.5,병원,330.8,942501,6804,13,254.1,833.8
228,1801467,050,9003,경상북도,334,구미시,37,15.5,병원,520.8,1076908,5452,16,612.8,1211.2
229,1669873,060,9003,경상남도,99,사천시,38,3.4,병원,480.2,1054279,1828,18,567.1,1058.7
230,1668230,570,9003,전라남도,64,화순군,36,3.9,병원,408.1,957428,3319,52,466.4,914.3
231,1680385,010,9003,광주광역시,190,동구,24,10.6,병원,261,949839,9662,51,382,556.1
232,1772622,510,9003,전라북도,78,완주군,35,4.1,병원,507.8,974514,1165,15,783.2,1158.2
233,1951214,080,9003,인천광역시,430,서구,23,15.6,병원,488.9,924891,8014,19,527,1233.1
234,1940319,180,9003,서울특별시,285,금천구,11,2,병원,376.9,947013,2986,10,888.1,773.5
235,1951288,540,9003,강원도,31,평창군,32,2.4,병원,597.4,1086786,325,10,662.6,1214.3
236,1690162,030,9003,경상남도,348,진주시,38,12,병원,429.5,1057333,8629,25,428.6,989.9
237,1679989,010,9003,부산광역시,112,중구,21,2.7,병원,190.6,1139637,1906,17,615,348.4
238,1611017,670,9003,전라남도,26,진도군,36,1.6,병원,523.7,886468,204,8,425.7,1039.5
239,1654013,090,9003,경상남도,167,거제시,38,5.7,병원,580.9,1102429,2884,17,622.9,1391.7
240,1865711,050,9003,충청남도,133,서산시,34,7.4,병원,567.6,906339,1761,13,628.4,1279.2
241,1660640,620,9003,전라남도,72,무안군,36,4.4,병원,518,905064,1163,16,498.2,1213.9
242,1951273,140,9003,서울특별시,608,마포구,11,4.2,병원,269.9,947740,4464,7,456.8,575.9
243,1731360,600,9003,경상남도,34,합천군,38,1.2,병원,598,1058131,449,13,484.6,1167.6
244,1926137,193,9003,경기도,341,용인시 수지구,31,2.7,병원,386.9,962042,3184,9,254.8,1043.6
245,1943524,020,9003,인천광역시,70,동구,23,2.5,병원,371.2,923886,1384,20,570.9,849.1
246,1755137,011,9003,전라북도,472,전주시 완산구,35,24.6,병원,308.5,965321,8634,18,284.8,707.8
247,1971868,510,9003,강원도,48,홍천군,32,3.8,병원,617.7,1050589,507,11,616,1327.2
248,1882730,620,9003,경상북도,27,울진군,37,1.3,병원,810.2,1161264,417,15,802.3,1640.4
249,1693485,530,9003,전라남도,20,구례군,36,1.2,병원,558,1000286,565,28,487.8,1156.9
