,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
223,1666242,040,J002,전라남도,63,나주시,36,6.2,약국,797.9,928852,151,2,993.3,1760.2
224,2007908,590,J002,강원도,17,인제군,32,2.2,약국,785,1066957,30,2,834.2,1712.4
225,1761073,020,J002,경상북도,124,경주시,37,9.6,약국,917.4,1159815,308,2,1045.9,1963.7
226,1652485,050,J002,경상남도,68,통영시,38,4.4,약국,794.9,1083808,169,2,683.6,1750.9
227,1947596,150,J002,서울특별시,197,양천구,11,3.4,약국,854.6,942501,505,3,656.6,2154.4
228,1801467,050,J002,경상북도,186,구미시,37,14.4,약국,935.1,1076908,474,3,1100.4,2174.9
229,1669873,060,J002,경상남도,61,사천시,38,4,약국,779.3,1054279,151,2,920.3,1718.2
230,1668230,570,J002,전라남도,35,화순군,36,3.5,약국,746.3,957428,99,3,852.8,1671.8
231,1680385,010,J002,광주광역시,124,동구,24,15.1,약국,400,949839,343,3,585.3,852
232,1772622,510,J002,전라북도,52,완주군,35,4.5,약국,761.6,974514,102,2,1174.7,1737.2
233,1951214,080,J002,인천광역시,189,서구,23,15.1,약국,1112.4,924891,529,3,1199,2805.5
234,1940319,180,J002,서울특별시,141,금천구,11,2.4,약국,761.9,947013,299,2,1795,1563.5
235,1951288,540,J002,강원도,22,평창군,32,2.8,약국,841.8,1086786,38,2,933.7,1711
236,1690162,030,J002,경상남도,187,진주시,38,12.2,약국,799.3,1057333,508,3,797.7,1842.1
237,1679989,010,J002,부산광역시,46,중구,21,2.7,약국,464.2,1139637,175,4,1497.3,848.2
238,1611017,670,J002,전라남도,18,진도군,36,1.8,약국,756.4,886468,35,2,614.9,1501.6
239,1654013,090,J002,경상남도,84,거제시,38,5.5,약국,1154.8,1102429,229,3,1238.4,2766.8
240,1865711,050,J002,충청남도,86,서산시,34,7.7,약국,877.7,906339,237,3,971.9,1978.2
241,1660640,620,J002,전라남도,41,무안군,36,4.1,약국,909.6,905064,90,2,874.9,2131.7
242,1951273,140,J002,서울특별시,217,마포구,11,3.7,약국,756.1,947740,502,2,1279.9,1613.6
243,1731360,600,J002,경상남도,22,합천군,38,1.4,약국,924.2,1058131,46,2,749,1804.5
244,1926137,193,J002,경기도,138,용인시 수지구,31,2.3,약국,956,962042,379,3,629.5,2578.7
245,1943524,020,J002,인천광역시,41,동구,23,3.3,약국,633.8,923886,105,3,974.6,1449.7
246,1755137,011,J002,전라북도,246,전주시 완산구,35,21.2,약국,591.9,965321,609,2,546.5,1358
247,1971868,510,J002,강원도,30,홍천군,32,3.9,약국,988.3,1050589,81,3,985.6,2123.5
248,1882730,620,J002,경상북도,24,울진군,37,1.9,약국,911.5,1161264,50,2,902.6,1845.5
249,1693485,530,J002,전라남도,15,구례군,36,1.5,약국,744,1000286,29,2,650.3,1542.5
